<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.12.02	09:50:00	125990	126070	125720	125755	93037	310246	5
2024.12.02	09:55:00	125755	125850	125650	125810	65401	216384	5
2024.12.02	10:00:00	125805	125840	125610	125780	72984	243629	5
2024.12.02	10:05:00	125775	125945	125660	125850	81082	265612	5
2024.12.02	10:10:00	125850	125865	125695	125835	62895	196698	5
2024.12.02	10:15:00	125835	125840	125520	125620	90481	307987	5
2024.12.02	10:20:00	125620	125650	125520	125600	49479	165487	5
2024.12.02	10:25:00	125595	125635	125505	125580	45657	172618	5
2024.12.02	10:30:00	125580	125620	125425	125495	63824	216238	5
2024.12.02	10:35:00	125495	125530	125125	125160	93844	342016	5
2024.12.02	10:40:00	125165	125400	125100	125390	88556	349568	5
2024.12.02	10:45:00	125390	125480	125315	125420	55407	185400	5
2024.12.02	10:50:00	125415	125515	125275	125480	71604	242029	5
2024.12.02	10:55:00	125475	125615	125430	125565	58813	198971	5
2024.12.02	11:00:00	125565	125605	125390	125425	61880	206924	5
2024.12.02	11:05:00	125425	125560	125310	125560	60917	202111	5
2024.12.02	11:10:00	125555	125720	125485	125495	93704	345655	5
2024.12.02	11:15:00	125495	125530	125285	125505	87655	298525	5
2024.12.02	11:20:00	125500	125745	125440	125720	78802	268343	5
2024.12.02	11:25:00	125720	125795	125565	125600	63369	213136	5
2024.12.02	11:30:00	125600	125690	125515	125530	74774	248191	5
2024.12.02	11:35:00	125530	125625	125395	125605	67445	223967	5
2024.12.02	11:40:00	125600	125765	125510	125670	61909	209930	5
2024.12.02	11:45:00	125670	125900	125620	125880	57184	195068	5
2024.12.02	11:50:00	125885	125895	125670	125695	51997	179456	5
2024.12.02	11:55:00	125695	125880	125695	125855	36039	128662	5
2024.12.02	12:00:00	125860	125975	125755	125810	61815	229241	5
2024.12.02	12:05:00	125810	126060	125795	125910	59914	216812	5
2024.12.02	12:10:00	125915	125975	125860	125925	36573	133787	5
2024.12.02	12:15:00	125930	125975	125690	125840	59421	218911	5
2024.12.02	12:20:00	125835	125990	125760	125955	39282	131447	5
2024.12.02	12:25:00	125955	126000	125825	125855	36302	126672	5
2024.12.02	12:30:00	125855	125855	125735	125740	31771	111616	5
2024.12.02	12:35:00	125740	125760	125580	125580	41433	147456	5
2024.12.02	12:40:00	125585	125640	125450	125590	50209	184819	5
2024.12.02	12:45:00	125585	125615	125435	125605	43445	155683	5
2024.12.02	12:50:00	125605	125625	125520	125540	20465	71197	5
2024.12.02	12:55:00	125535	125645	125525	125630	24200	81138	5
2024.12.02	13:00:00	125630	125630	125480	125490	33360	112612	5
2024.12.02	13:05:00	125490	125680	125490	125605	33738	117540	5
2024.12.02	13:10:00	125605	125670	125555	125660	28951	97444	5
2024.12.02	13:15:00	125655	125835	125615	125830	49670	172974	5
2024.12.02	13:20:00	125825	125910	125785	125845	43943	143017	5
2024.12.02	13:25:00	125845	125850	125735	125795	29828	91866	5
2024.12.02	13:30:00	125800	125915	125775	125845	33041	108442	5
2024.12.02	13:35:00	125845	125900	125660	125735	40336	137422	5
2024.12.02	13:40:00	125735	125910	125720	125875	34247	118626	5
2024.12.02	13:45:00	125870	125945	125825	125910	30412	104636	5
2024.12.02	13:50:00	125915	125915	125780	125800	28396	97515	5
2024.12.02	13:55:00	125800	125820	125755	125765	17424	55530	5
2024.12.02	14:00:00	125760	125800	125660	125660	36785	132244	5
2024.12.02	14:05:00	125660	125830	125600	125810	49960	180138	5
2024.12.02	14:10:00	125810	125970	125800	125945	28468	95406	5
2024.12.02	14:15:00	125945	125960	125845	125920	28736	98925	5
2024.12.02	14:20:00	125920	126040	125895	126015	30713	106830	5
2024.12.02	14:25:00	126020	126090	125985	125995	31910	108177	5
2024.12.02	14:30:00	125995	126025	125865	126000	42326	150731	5
2024.12.02	14:35:00	125995	126050	125955	126000	26245	86203	5
2024.12.02	14:40:00	126000	126185	125985	126165	44891	154632	5
2024.12.02	14:45:00	126165	126360	126135	126280	52777	195559	5
2024.12.02	14:50:00	126280	126290	126145	126220	40278	149265	5
2024.12.02	14:55:00	126220	126240	126125	126155	26317	89923	5
2024.12.02	15:00:00	126150	126270	126130	126200	26672	97476	5
2024.12.02	15:05:00	126200	126210	126070	126125	31349	128569	5
2024.12.02	15:10:00	126120	126165	126080	126155	19771	79257	5
2024.12.02	15:15:00	126150	126170	126025	126030	22488	87729	5
2024.12.02	15:20:00	126030	126040	125850	125875	41640	157600	5
2024.12.02	15:25:00	125875	125945	125840	125875	26710	100735	5
2024.12.02	15:30:00	125880	125975	125860	125900	25418	101103	5
2024.12.02	15:35:00	125900	125930	125805	125820	23183	86711	5
2024.12.02	15:40:00	125815	125910	125810	125905	19662	74837	5
2024.12.02	15:45:00	125910	125980	125900	125925	19886	76798	5
2024.12.02	15:50:00	125925	126070	125845	126040	49738	202220	5
2024.12.02	15:55:00	126040	126060	125965	125980	18632	69508	5
2024.12.02	16:00:00	125980	126010	125940	125970	19419	74077	5
2024.12.02	16:05:00	125970	126080	125965	126055	23606	88577	5
2024.12.02	16:10:00	126055	126090	125960	125980	20873	81863	5
