<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.10.28	14:15:00	116165	116250	115945	116120	112002	368368	5
2022.10.28	14:30:00	116120	116170	115990	116005	71462	256729	5
2022.10.28	14:45:00	116000	116125	115925	115955	83980	303833	5
2022.10.28	15:00:00	115955	116120	115825	115985	106948	385977	5
2022.10.28	15:15:00	115985	116025	115720	115740	95946	341851	5
2022.10.28	15:30:00	115740	115900	115630	115690	112775	417341	5
2022.10.28	15:45:00	115690	115935	115565	115930	114227	427497	5
2022.10.28	16:00:00	115930	115935	115675	115820	122240	464551	5
2022.10.28	16:15:00	115825	115875	115605	115750	105183	393940	5
2022.10.28	16:30:00	115750	115990	115730	115870	91016	326788	5
2022.10.28	16:45:00	115870	115960	115730	115940	110372	388016	5
2022.10.28	17:00:00	115940	116785	115905	116685	158544	494114	5
2022.10.28	17:15:00	116685	117060	116255	116635	164809	474680	5
2022.10.28	17:30:00	116630	116950	116230	116835	111737	322885	5
2022.10.28	17:45:00	116840	117100	116715	117045	41857	136246	5
2022.10.31	09:00:00	113000	114140	112500	113915	337898	777637	5
2022.10.31	09:15:00	113915	114125	113660	114005	219265	547065	5
2022.10.31	09:30:00	114005	114085	113265	113435	215463	577951	5
2022.10.31	09:45:00	113435	113470	113045	113410	194386	540670	5
2022.10.31	10:00:00	113410	113985	113355	113985	192997	552221	5
2022.10.31	10:15:00	113980	115040	113930	114630	319906	926362	5
2022.10.31	10:30:00	114625	116155	114555	116155	361741	1076530	5
2022.10.31	10:45:00	116155	118135	115910	117690	426950	1355595	5
2022.10.31	11:00:00	117685	118450	117185	117750	382497	1131400	5
2022.10.31	11:15:00	117745	117780	117290	117495	183910	557199	5
2022.10.31	11:30:00	117495	117610	116895	117080	191386	587614	5
2022.10.31	11:45:00	117075	117410	116990	117295	162986	512028	5
2022.10.31	12:00:00	117290	117345	117055	117110	111830	349609	5
2022.10.31	12:15:00	117110	117160	116440	116485	207751	651245	5
2022.10.31	12:30:00	116485	116760	116415	116465	127904	360526	5
2022.10.31	12:45:00	116460	116620	116075	116130	169326	541419	5
2022.10.31	13:00:00	116125	116360	115750	115815	153988	472637	5
2022.10.31	13:15:00	115815	115930	115340	115490	169590	570389	5
2022.10.31	13:30:00	115490	115515	115200	115230	147949	480560	5
2022.10.31	13:45:00	115235	115370	115050	115315	140813	456649	5
2022.10.31	14:00:00	115315	115785	115255	115545	186147	612532	5
2022.10.31	14:15:00	115540	116080	115440	115880	161924	513160	5
2022.10.31	14:30:00	115880	116540	115780	116295	192344	607833	5
2022.10.31	14:45:00	116295	116480	115975	116315	177604	522085	5
2022.10.31	15:00:00	116310	116680	116275	116520	148874	444629	5
2022.10.31	15:15:00	116520	116580	116330	116475	99365	348271	5
2022.10.31	15:30:00	116470	117200	116360	116835	188621	629547	5
2022.10.31	15:45:00	116830	117080	116500	116740	174572	554711	5
2022.10.31	16:00:00	116740	117000	116655	116690	129242	436597	5
2022.10.31	16:15:00	116685	116935	116595	116870	123004	408751	5
2022.10.31	16:30:00	116865	117765	116805	117725	170212	591768	5
2022.10.31	16:45:00	117725	117995	117525	117845	163327	545340	5
2022.10.31	17:00:00	117840	117885	117515	117820	115913	341291	5
2022.10.31	17:15:00	117825	117865	117040	117210	114218	336043	5
2022.10.31	17:30:00	117205	117445	116695	117330	128534	341500	5
2022.10.31	17:45:00	117330	117595	117070	117440	41256	113419	5
2022.11.01	09:00:00	118105	118835	117715	118180	296162	663177	5
2022.11.01	09:15:00	118180	119075	118025	118940	276418	660696	5
2022.11.01	09:30:00	118940	119265	118630	119055	243694	581217	5
2022.11.01	09:45:00	119060	119170	118705	118910	155574	394332	5
2022.11.01	10:00:00	118905	119065	118400	118865	308915	766993	5
2022.11.01	10:15:00	118865	118885	118105	118125	259572	637544	5
2022.11.01	10:30:00	118120	118580	117955	118410	316398	803769	5
2022.11.01	10:45:00	118410	118510	117595	117790	282490	740377	5
2022.11.01	11:00:00	117785	117870	116995	117455	326606	883937	5
2022.11.01	11:15:00	117455	118300	117260	118045	301355	778932	5
2022.11.01	11:30:00	118050	118805	118005	118240	300685	776564	5
2022.11.01	11:45:00	118240	118300	117855	118080	207966	558574	5
2022.11.01	12:00:00	118080	118240	117880	118120	171482	474042	5
2022.11.01	12:15:00	118115	118630	117770	118540	187503	537677	5
2022.11.01	12:30:00	118540	118775	118110	118280	195459	536158	5
2022.11.01	12:45:00	118285	118685	118190	118600	143139	404276	5
2022.11.01	13:00:00	118600	118955	118305	118455	178808	518310	5
2022.11.01	13:15:00	118460	118480	118290	118325	96600	288627	5
2022.11.01	13:30:00	118325	118715	118220	118675	122935	373249	5
2022.11.01	13:45:00	118680	118735	118255	118385	146969	453381	5
2022.11.01	14:00:00	118390	118495	118265	118310	93734	285296	5
2022.11.01	14:15:00	118305	118520	118240	118355	98758	302991	5
2022.11.01	14:30:00	118355	118520	118120	118515	134878	421684	5
