<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.08.29	113420	114920	113130	114220	4219390	13433639	5
2022.08.30	114395	114540	111660	111685	5072881	16682466	5
2022.08.31	111865	112935	111020	111700	5961739	17837715	5
2022.09.01	111250	112125	109620	111885	5920249	18388161	5
2022.09.02	111690	113805	111435	112350	5609090	16767879	5
2022.09.05	112215	114050	112175	113580	3775485	11032336	5
2022.09.06	113350	113375	110580	110605	5824598	18117889	5
2022.09.08	111745	112055	109770	111010	6880681	20448069	5
2022.09.09	112100	113775	111985	113550	4555120	13386006	5
2022.09.12	114230	115395	113875	114600	4477910	13615341	5
2022.09.13	115150	115365	111540	111770	5758573	17477204	5
2022.09.14	111620	112550	111075	111860	5818284	17668725	5
2022.09.15	111460	112150	110430	110610	5694057	17607507	5
2022.09.16	110110	110460	109420	110400	5499234	16942226	5
2022.09.19	109165	113500	108980	113460	5222161	17020201	5
2022.09.20	112900	113670	112165	113410	5657891	16962461	5
2022.09.21	113600	114180	112035	112600	6354351	18649430	5
2022.09.22	113480	115210	112515	114670	5869271	17777379	5
2022.09.23	113200	113370	111320	112240	5975096	18074776	5
2022.09.26	111525	111815	109075	109130	6654778	20210246	5
2022.09.27	110350	111585	108630	109135	6476331	19519422	5
2022.09.28	108135	109495	108030	108670	6017865	18278393	5
2022.09.29	108320	108645	106530	108115	5791308	17329191	5
2022.09.30	108500	110960	107500	110900	5538268	17823347	5
2022.10.03	114355	117130	113605	116970	5556097	16697680	5
2022.10.04	118060	118840	116100	116910	5949687	18258776	5
2022.10.05	116080	117935	115875	117800	5447227	16306161	5
2022.10.06	117310	118700	117170	117300	4971550	16111585	5
2022.10.07	117550	118190	116050	117250	5064589	15814014	5
2022.10.10	116960	117400	115375	116100	4786071	14996547	5
2022.10.11	115410	116010	114315	114650	5352160	17214709	5
2022.10.13	117550	118080	114810	116030	4822329	16040772	5
2022.10.14	116525	116930	113675	113830	5736485	18507262	5
2022.10.17	115000	116515	114425	115910	4411290	14634374	5
2022.10.18	116945	118260	116205	118150	5097636	17472209	5
2022.10.19	117500	118565	117140	118255	4997962	17294033	5
2022.10.20	118860	119680	118465	118950	4747125	16408458	5
2022.10.21	118385	122825	118280	122370	5298892	18242966	5
2022.10.24	121825	121835	117665	118050	5532580	18379891	5
2022.10.25	118020	118675	116040	116150	4840419	15505516	5
2022.10.26	116395	116830	114195	115250	5427638	16708509	5
2022.10.27	114900	118215	114300	115615	6558534	19940742	5
2022.10.28	114465	117100	114415	117045	5563981	17010122	5
2022.10.31	113000	118450	112500	117440	6733693	20372783	5
2022.11.01	118105	119920	116985	117410	6858584	18258371	5
2022.11.03	115865	118970	115490	118465	5103032	14582363	5
2022.11.04	120115	121605	118900	119270	6196651	17607021	5
2022.11.07	120045	120280	116370	116680	5659514	16208446	5
2022.11.08	116740	118590	115220	117855	6100667	18152547	5
2022.11.09	116900	117425	114255	114855	5705993	16602484	5
2022.11.10	114155	114155	109530	111060	6883614	17505701	5
2022.11.11	111985	114265	110175	113635	6518064	17250362	5
2022.11.14	113155	115460	112760	114220	6077367	16628301	5
2022.11.16	113655	114320	110340	110500	6539019	18565838	5
2022.11.17	109155	110610	108105	109950	6738960	18329180	5
2022.11.18	111410	112485	109270	109590	6092593	16880459	5
2022.11.21	109580	111110	108715	110880	6021950	17089122	5
2022.11.22	110500	111425	108560	109570	6253343	17709660	5
2022.11.23	109965	110175	108540	109120	5885871	17890879	5
2022.11.24	110380	113425	110055	112960	4639925	13410075	5
2022.11.25	112280	113035	109110	109320	5029593	15003982	5
2022.11.28	108550	110075	107915	109370	4763686	14206681	5
2022.11.29	110150	112835	109755	111620	5101411	15625517	5
2022.11.30	112000	113050	110600	113050	6308049	18108492	5
2022.12.01	112500	112690	110905	111575	5349571	15646598	5
2022.12.02	111500	114200	110225	112235	5257654	15637604	5
2022.12.05	112815	112840	109480	109480	5074288	15074064	5
2022.12.06	109770	110925	109405	110665	5676920	17026052	5
2022.12.07	109770	110440	108760	109640	5847850	17863163	5
2022.12.08	109440	109745	106980	107170	5468530	16930031	5
2022.12.09	107880	108710	107135	107780	4313044	12570881	5
2022.12.12	107895	107895	103765	104765	5426209	17063860	5
2022.12.13	104980	107000	103095	103615	6287628	17695438	5
2022.12.14	105140	106525	103635	105660	6490437	18204807	5
2022.12.15	105030	107630	104700	105850	5572051	16421200	5
2022.12.16	105120	106010	104110	104710	5165173	14950873	5
2022.12.19	105000	107045	104195	106785	5293927	15461578	5
2022.12.20	106705	109785	106160	109330	5928190	18182550	5
2022.12.21	109710	109810	107760	109350	5846803	16868351	5
2022.12.22	109000	110220	108190	109390	5633980	15865199	5
2022.12.23	109560	111825	109285	111430	4790019	13358229	5
