<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.12.26	111240	111775	109940	110520	3638709	8992271	5
2022.12.27	111175	111370	108945	110090	4635681	13887025	5
2022.12.28	110380	112290	110200	112235	4923860	14242720	5
2022.12.29	112080	112850	110880	111035	4885512	13112319	5
2023.01.02	110400	110585	107265	107400	3693779	9744726	5
2023.01.03	107950	108045	104970	105000	6065199	17976363	5
2023.01.04	105550	107070	105150	106870	6099626	17838858	5
2023.01.05	107280	109270	106650	109200	4833778	15118245	5
2023.01.06	109050	110815	108845	110600	4798711	14441947	5
2023.01.09	109335	111295	108800	110210	5347317	15790674	5
2023.01.10	109750	112495	109375	111890	5189462	16098897	5
2023.01.11	111950	114190	111755	113990	5119860	15909061	5
2023.01.12	113200	114070	111695	112990	6171835	17492311	5
2023.01.13	112630	112895	111405	111990	4693641	14183405	5
2023.01.16	111100	111640	109705	109955	4209913	12232273	5
2023.01.17	110000	112660	109940	112520	4496045	13882976	5
2023.01.18	112920	114340	112825	113000	5568288	16813902	5
2023.01.19	111750	114170	111505	113515	5188598	15160695	5
2023.01.20	113880	114010	112545	113060	4673266	14209677	5
2023.01.23	113200	113880	112275	112360	5297973	15640149	5
2023.01.24	112065	114000	111870	113900	4657975	14663336	5
2023.01.25	113475	115295	112585	115295	5013284	15036050	5
2023.01.26	115045	115585	114270	114635	4848234	14746993	5
2023.01.27	114830	115070	112625	112860	4329589	13109051	5
2023.01.30	112610	113625	112375	113065	4761688	14189405	5
2023.01.31	112655	114265	112490	113980	4225828	12469633	5
2023.02.01	113860	114110	111155	112730	5702722	17043342	5
2023.02.02	112100	113445	110100	110365	5657732	16979105	5
2023.02.03	109850	110965	108465	108830	5546223	16215167	5
2023.02.06	108350	109260	107700	109000	5640774	16946275	5
2023.02.07	109355	109695	107435	108100	6275768	17886094	5
2023.02.08	108500	110485	108450	110440	5662911	17195149	5
2023.02.09	110845	110870	107920	108095	5544106	16758313	5
2023.02.10	107650	108800	107120	108055	4746396	14796647	5
2023.02.13	108175	109350	107470	109150	4398434	13851609	5
2023.02.14	109350	109745	107550	107770	5436867	17047085	5
2023.02.15	109800	112100	109005	111465	4310567	14381335	5
2023.02.16	111540	112255	110075	112185	5191056	17201412	5
2023.02.17	111245	111635	110675	110695	4494864	14225643	5
2023.02.22	109885	109915	108275	108495	2595346	8540645	5
2023.02.23	109110	110365	108210	109175	4481678	15333457	5
2023.02.24	108600	109100	106805	107490	4019311	13928486	5
2023.02.27	107955	108045	106660	106925	4982847	15920129	5
2023.02.28	107100	108265	105720	105745	5314185	16660414	5
2023.03.01	106360	106695	104375	105800	5480447	17892234	5
