<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.02.13	12:00:00	126445	126720	126280	126540	410701	1457116	5
2025.02.13	13:00:00	126535	126765	126485	126710	232305	818591	5
2025.02.13	14:00:00	126715	126950	126620	126755	261669	967656	5
2025.02.13	15:00:00	126750	126910	126625	126795	331803	1211889	5
2025.02.13	16:00:00	126795	126980	126755	126790	203490	737660	5
2025.02.13	17:00:00	126785	127230	126685	127215	193079	736111	5
2025.02.13	18:00:00	127210	127290	127110	127140	50581	180021	5
2025.02.14	09:00:00	127020	128370	126995	128060	651610	2093503	5
2025.02.14	10:00:00	128060	128825	128025	128345	682856	2304987	5
2025.02.14	11:00:00	128350	128765	128270	128715	419146	1424949	5
2025.02.14	12:00:00	128715	129230	128675	129015	342775	1203965	5
2025.02.14	13:00:00	129015	129440	128955	129440	259336	904112	5
2025.02.14	14:00:00	129445	129670	129335	129535	240020	890751	5
2025.02.14	15:00:00	129535	129750	129455	129725	179237	692703	5
2025.02.14	16:00:00	129725	130905	129725	130600	438949	1749198	5
2025.02.14	17:00:00	130595	130940	130420	130650	278027	971594	5
2025.02.14	18:00:00	130650	130760	130260	130455	85009	313924	5
2025.02.17	09:00:00	130450	131160	130420	131125	545600	1532990	5
2025.02.17	10:00:00	131130	131200	130830	131145	589295	1776238	5
2025.02.17	11:00:00	131140	131630	131050	131475	595600	1991377	5
2025.02.17	12:00:00	131475	131845	131390	131765	309525	1036095	5
2025.02.17	13:00:00	131760	131940	131660	131870	248131	804677	5
2025.02.17	14:00:00	131870	131885	131560	131695	237695	755648	5
2025.02.17	15:00:00	131690	131725	131180	131325	251654	874727	5
2025.02.17	16:00:00	131330	131635	131210	131490	234079	804904	5
2025.02.17	17:00:00	131485	131545	130880	130990	243143	751510	5
2025.02.17	18:00:00	130990	131015	130760	130880	62649	204893	5
2025.02.18	09:00:00	131300	131325	130690	131075	518092	1585557	5
2025.02.18	10:00:00	131070	131160	130295	130845	835484	2802365	5
2025.02.18	11:00:00	130845	131160	130640	131005	522736	1816174	5
2025.02.18	12:00:00	131005	131610	131000	131455	366463	1303437	5
2025.02.18	13:00:00	131455	131475	131275	131405	238568	834840	5
2025.02.18	14:00:00	131405	131440	130935	130965	264915	973542	5
2025.02.18	15:00:00	130960	131035	130620	130780	291690	1124043	5
